id,name,brand,category,price,old_price,currency,color,sizes,gender,url,image,in_stock,image_kind,style_fields,parsed_at
168031554,Сумка багет маленькая на плечо,K.KD,аксессуар,1693,,RUB,черный,,женский,https://www.wildberries.ru/catalog/168031554/detail.aspx,https://basket-12.wbbasket.ru/vol1680/part168031/168031554/images/big/1.webp,true,packshot,classic drama,2026-07-16
697387728,Сумка багет маленькая на плечо,BAGYbgs,аксессуар,1992,,RUB,коричневый,,женский,https://www.wildberries.ru/catalog/697387728/detail.aspx,https://basket-33.wbbasket.ru/vol6973/part697387/697387728/images/big/1.webp,true,model,classic drama,2026-07-16
831575579,Сумка женская багет кожаная на плечо,Benom,аксессуар,2788,,RUB,коричневый,,женский,https://www.wildberries.ru/catalog/831575579/detail.aspx,https://basket-38.wbbasket.ru/vol8315/part831575/831575579/images/big/1.webp,true,model,classic drama,2026-07-16
855870321,Сумка багет маленькая на плечо,BAGYbgs,аксессуар,1614,,RUB,бежевый,,женский,https://www.wildberries.ru/catalog/855870321/detail.aspx,https://basket-38.wbbasket.ru/vol8558/part855870/855870321/images/big/1.webp,true,model,classic drama,2026-07-16
724792819,Сумка женская через плечо y2k черная для девушки подростка,НИКИС,аксессуар,1539,,RUB,черный,,женский,https://www.wildberries.ru/catalog/724792819/detail.aspx,https://basket-34.wbbasket.ru/vol7247/part724792/724792819/images/big/1.webp,true,model,classic drama,2026-07-16
778876250,сумка багет из натуральной кожи через плечо,,аксессуар,3409,,RUB,черный,,женский,https://www.wildberries.ru/catalog/778876250/detail.aspx,https://basket-36.wbbasket.ru/vol7788/part778876/778876250/images/big/1.webp,true,model,classic drama,2026-07-16
306031891,Маленькая сумка багет на плечо,SHona,аксессуар,1505,,RUB,черный,,женский,https://www.wildberries.ru/catalog/306031891/detail.aspx,https://basket-19.wbbasket.ru/vol3060/part306031/306031891/images/big/1.webp,true,packshot,classic drama,2026-07-16
152078825,сумка багет на плечо маленькая,Supis bags,аксессуар,1662,,RUB,черный,,женский,https://www.wildberries.ru/catalog/152078825/detail.aspx,https://basket-10.wbbasket.ru/vol1520/part152078/152078825/images/big/1.webp,true,model,classic drama,2026-07-16
379076535,Сумка винтажная багет на плечо,ELOIS,аксессуар,3293,,RUB,черный,,женский,https://www.wildberries.ru/catalog/379076535/detail.aspx,https://basket-22.wbbasket.ru/vol3790/part379076/379076535/images/big/1.webp,true,model,classic drama,2026-07-16
890872710,Сумка багет летняя на плечо casual базовая,One Move,аксессуар,1532,,RUB,бежевый,,женский,https://www.wildberries.ru/catalog/890872710/detail.aspx,https://basket-39.wbbasket.ru/vol8908/part890872/890872710/images/big/1.webp,true,model,classic drama,2026-07-16
838039086,Сумка багет,,аксессуар,2104,,RUB,черный,,женский,https://www.wildberries.ru/catalog/838039086/detail.aspx,https://basket-38.wbbasket.ru/vol8380/part838039/838039086/images/big/1.webp,true,model,classic drama,2026-07-16
287490904,Сумка багет на плечо полумесяц шоколадная,BLAMP,аксессуар,1752,,RUB,коричневый,,женский,https://www.wildberries.ru/catalog/287490904/detail.aspx,https://basket-18.wbbasket.ru/vol2874/part287490/287490904/images/big/1.webp,true,model,classic drama,2026-07-16
243010976,Сумка багет прямоугольная на плечо,Niche brand,аксессуар,1548,,RUB,черный,,женский,https://www.wildberries.ru/catalog/243010976/detail.aspx,https://basket-16.wbbasket.ru/vol2430/part243010/243010976/images/big/1.webp,true,packshot,classic drama,2026-07-16
879886324,Сумка тоут шоппер большая с косметичкой,YNINA Santina,аксессуар,1580,,RUB,коричневый,,женский,https://www.wildberries.ru/catalog/879886324/detail.aspx,https://basket-39.wbbasket.ru/vol8798/part879886/879886324/images/big/1.webp,true,model,natural classic,2026-07-16
221981593,Сумка кожаный шоппер А4 большой,TOUCHBRAND,аксессуар,1912,,RUB,черный,,женский,https://www.wildberries.ru/catalog/221981593/detail.aspx,https://basket-15.wbbasket.ru/vol2219/part221981/221981593/images/big/1.webp,true,model,natural classic,2026-07-16
257259309,Сумка шоппер мешок большая через плечо с косметичкой кожаная,M&R FOR YOU,аксессуар,3603,,RUB,серый,,женский,https://www.wildberries.ru/catalog/257259309/detail.aspx,https://basket-16.wbbasket.ru/vol2572/part257259/257259309/images/big/1.webp,true,model,natural classic,2026-07-16
712498945,сумка шоппер А4,Kella,аксессуар,3286,,RUB,коричневый,,женский,https://www.wildberries.ru/catalog/712498945/detail.aspx,https://basket-34.wbbasket.ru/vol7124/part712498/712498945/images/big/1.webp,true,model,natural classic,2026-07-16
712495875,сумка средняя шоппер,Kella,аксессуар,2803,,RUB,черный,,женский,https://www.wildberries.ru/catalog/712495875/detail.aspx,https://basket-34.wbbasket.ru/vol7124/part712495/712495875/images/big/1.webp,true,model,natural classic,2026-07-16
943164884,Сумка большая А4 шоппер,LUIGI BRAVO эко,аксессуар,2023,,RUB,коричневый,,женский,https://www.wildberries.ru/catalog/943164884/detail.aspx,https://basket-40.wbbasket.ru/vol9431/part943164/943164884/images/big/1.webp,true,packshot,natural classic,2026-07-16
410143410,Сумка шоппер мини через плечо для учебы,MILADA,аксессуар,1581,,RUB,бежевый,,женский,https://www.wildberries.ru/catalog/410143410/detail.aspx,https://basket-23.wbbasket.ru/vol4101/part410143/410143410/images/big/1.webp,true,model,natural classic,2026-07-16
213100430,Шоппер сумка большая через плечо,MILADA,аксессуар,1616,,RUB,бежевый,,женский,https://www.wildberries.ru/catalog/213100430/detail.aspx,https://basket-14.wbbasket.ru/vol2131/part213100/213100430/images/big/1.webp,true,model,natural classic,2026-07-16
343392644,Сумка шоппер мини через плечо для учебы,MILADA,аксессуар,1640,,RUB,белый,,женский,https://www.wildberries.ru/catalog/343392644/detail.aspx,https://basket-20.wbbasket.ru/vol3433/part343392/343392644/images/big/1.webp,true,model,natural classic,2026-07-16
679905954,Сумка шоппер из натуральной кожи с ручками большая,Joni Krein,аксессуар,3678,,RUB,черный,,женский,https://www.wildberries.ru/catalog/679905954/detail.aspx,https://basket-33.wbbasket.ru/vol6799/part679905/679905954/images/big/1.webp,true,model,natural classic,2026-07-16
168858772,Сумка шоппер мешок большая через плечо с косметичкой кожаная,M&R FOR YOU,аксессуар,3177,,RUB,черный,,женский,https://www.wildberries.ru/catalog/168858772/detail.aspx,https://basket-12.wbbasket.ru/vol1688/part168858/168858772/images/big/1.webp,true,model,natural classic,2026-07-16
166678272,Сумка шоппер,OVONZO,аксессуар,1910,,RUB,бежевый,,женский,https://www.wildberries.ru/catalog/166678272/detail.aspx,https://basket-12.wbbasket.ru/vol1666/part166678/166678272/images/big/1.webp,true,model,natural classic,2026-07-16
280217660,Сумка шоппер кожаная на плечо,VELANSLINE,аксессуар,2848,,RUB,черный,,женский,https://www.wildberries.ru/catalog/280217660/detail.aspx,https://basket-17.wbbasket.ru/vol2802/part280217/280217660/images/big/1.webp,true,packshot,natural classic,2026-07-16
745517058,сумка средняя шоппер,Kella,аксессуар,2803,,RUB,коричневый,,женский,https://www.wildberries.ru/catalog/745517058/detail.aspx,https://basket-35.wbbasket.ru/vol7455/part745517/745517058/images/big/1.webp,true,model,natural classic,2026-07-16
143840494,Пальто женское длинное из кашемира с шерстью прямое,Louren Wilton,пальто,4040,,RUB,зеленый,,женский,https://www.wildberries.ru/catalog/143840494/detail.aspx,https://basket-10.wbbasket.ru/vol1438/part143840/143840494/images/big/1.webp,true,model,classic,2026-07-16
11664879,Пальто классическое демисезонное,Lady Jasmine,пальто,2114,,RUB,серый,,женский,https://www.wildberries.ru/catalog/11664879/detail.aspx,https://basket-01.wbbasket.ru/vol116/part11664/11664879/images/big/1.webp,true,packshot,classic,2026-07-16
496268058,Пальто женское шерстяное весна-осень,ARCHETYPE,пальто,5205,,RUB,синий,,женский,https://www.wildberries.ru/catalog/496268058/detail.aspx,https://basket-27.wbbasket.ru/vol4962/part496268/496268058/images/big/1.webp,true,model,classic,2026-07-16
557334385,Пиджак пальто шерстяное,M-METKA,пальто,4374,,RUB,коричневый,,женский,https://www.wildberries.ru/catalog/557334385/detail.aspx,https://basket-29.wbbasket.ru/vol5573/part557334/557334385/images/big/1.webp,true,packshot,classic,2026-07-16
